entidade_id,logradouro,numero,cep,localidade,municipio,estado
9a3471d2-1e36-4383-b95c-20abb7e9999e,R. GALILEU GALILEI,9,81010-180,LINDÓIA,Curitiba,PR
21d85152-b7a2-49b2-903d-4dbe5d30a2b1,R. CONDE DOS ARCOS,204,81010-120,LINDÓIA,Curitiba,PR
fca99967-f79b-401d-8def-3781ffa0a31a,AV. PRESIDENTE WENCESLAU BRAZ,2661,81010-000,LINDÓIA,Curitiba,PR
51dbd527-6242-4998-9c21-c270fbf4c323,R. JOSINA RAMOS RÉGIO,44,81010-210,LINDÓIA,Curitiba,PR
492721d8-baa1-4c33-98c6-8167ad23070a,AV. HENRY FORD,892,81010-100,LINDÓIA,Curitiba,PR
c1a03e38-2b03-46ac-9cae-da3601b74bdd,R. OSCAR WILDE,436,81010-230,LINDÓIA,Curitiba,PR
68ab492e-ba8e-4623-a191-3ed20d4c3c05,R. ANTERO DE QUENTAL,652,81010-150,LINDÓIA,Curitiba,PR
01b68fea-5245-4e46-aaef-68da25202d43,R. LEON TOLSTOI,423,81010-090,LINDÓIA,Curitiba,PR
9cd5c482-e4ea-4e15-ae42-e9e0b5df5186,R. SANTA JOANA DARC,532,81010-190,LINDÓIA,Curitiba,PR
d57ca166-aaae-4d6a-b7c7-223c36193b39,R. CAPITÃO JOÃO ZALESKI,235,81010-080,LINDÓIA,Curitiba,PR
c4aa6d07-1cf7-4b03-a898-106a5f9578eb,R. AMÉRICO VESPÚCIO,154,81010-250,LINDÓIA,Curitiba,PR
12a278ce-ad54-43a1-873e-f6c6ae86997b,AV. SANTA BERNADETHE,790,81010-270,LINDÓIA,Curitiba,PR
e3733aba-cd61-439c-b817-85e89ef0f77f,AV. SANTA BERNADETHE,1050,81010-200,LINDÓIA,Curitiba,PR
078fe4a7-b379-4039-ba2b-ec0ce04d1d69,R. LEON TOLSTOI,671,81010-090,LINDÓIA,Curitiba,PR
709dda98-cd2d-426c-8da7-10da7b1a26f0,R. AMÉRICO VESPÚCIO,472,81010-250,LINDÓIA,Curitiba,PR
34db68c2-803b-4f2b-a2ce-d7904bf8455a,R. PROFESSOR OSCAR KOLBE,210,81010-240,LINDÓIA,Curitiba,PR
73e962ff-12b9-4052-adc0-b2ad1921d52d,AV. HENRY FORD,598,81010-100,LINDÓIA,Curitiba,PR
f50ffe65-eefb-41bd-ae42-06a3f52525cf,R. CONDE DOS ARCOS,1317,81010-120,LINDÓIA,Curitiba,PR
ad2cb43e-4da2-45dd-a4fc-658ec6391265,R. CAMILO CASTELO BRANCO,497,81010-170,LINDÓIA,Curitiba,PR
5f9e73a2-623e-4e4c-bbe6-9965391485a8,R. CONDE DOS ARCOS,1136,81010-120,LINDÓIA,Curitiba,PR
16a713af-85d0-4658-8857-00b579552d0f,R. CAPITÃO JOÃO ZALESKI,1920,81010-080,LINDÓIA,Curitiba,PR
9846bd91-8f6e-40b7-8797-a6857a190195,AV. PRESIDENTE WENCESLAU BRAZ,1893,81010-000,LINDÓIA,Curitiba,PR
c08bcfde-b969-4416-896c-ca3f73e4f0f4,AV. PRESIDENTE WENCESLAU BRAZ,1055,81010-100,LINDÓIA,Curitiba,PR
cf11fe52-feb2-4476-b8fe-49ebb46bdc19,R. VICTOR HUGO,20,81010-130,LINDÓIA,Curitiba,PR
0b0455f3-ae6c-4e8f-b132-f860e74dc7ad,R. CONDE DOS ARCOS,388,81010-120,LINDÓIA,Curitiba,PR
ad1e4538-3ea8-496f-8286-561d10f71716,R. LEON TOLSTOI,1300,81010-090,LINDÓIA,Curitiba,PR
ba36285c-02cf-41fd-974b-20df7a41f24c,R. OSCAR WILDE,486,81010-230,LINDÓIA,Curitiba,PR
7d169644-76d1-4195-85da-09f365a97b06,AV. PRESIDENTE WENCESLAU BRAZ,1985,81010-000,LINDÓIA,Curitiba,PR
fcfe3e7a-7c1c-4469-8a42-7b5e7f2f4b26,R. ALEIXO BETTEGA,495,81010-280,LINDÓIA,Curitiba,PR
f2cedf28-8920-4477-be88-b6acb683b286,R. DJALMA FERREIRA MACIEL,535,81010-270,LINDÓIA,Curitiba,PR
968f9ef4-c7fb-4a94-8b4f-bcd0aad99d7f,R. OSCAR WILDE,934,81010-230,LINDÓIA,Curitiba,PR
7571912f-5176-4af4-808e-db8e01414f1b,R. LEON TOLSTOI,913,81010-090,LINDÓIA,Curitiba,PR
b9680ac1-1107-4fbd-850e-21216b520588,AV. SANTA BERNADETHE,1032,81010-200,LINDÓIA,Curitiba,PR
e09a306f-0df9-4e8a-9d98-1bbb0e73691f,R. CAPITÃO JOÃO ZALESKI,1647,81010-080,LINDÓIA,Curitiba,PR
bf3fead7-ce12-4af7-8f60-9dfaa0568334,R. AMÉRICO VESPÚCIO,60,81010-250,LINDÓIA,Curitiba,PR
d057535e-5d44-446c-a2b1-5b0ae69bca53,R. LEON TOLSTOI,1180,81010-090,LINDÓIA,Curitiba,PR
11c71e08-7fee-4676-8f94-932ca6c56f28,R. LEON TOLSTOI,278,81010-090,LINDÓIA,Curitiba,PR
0d14a7f3-b989-4581-becf-b4e6d2ad5b6d,R. ALEIXO BETTEGA,111,81010-280,LINDÓIA,Curitiba,PR
19632032-433a-42fe-b048-c6b21b205b71,R. DUARTE DA COSTA,623,81010-060,LINDÓIA,Curitiba,PR
44c51b8e-aecc-4bb1-9ef3-a668218bd2ad,AV. PRESIDENTE WENCESLAU BRAZ,2983,81010-001,LINDÓIA,Curitiba,PR
f4ff213f-a204-4b6f-bd45-ceb95a4aeb8b,R. DJALMA FERREIRA MACIEL,352,81010-270,LINDÓIA,Curitiba,PR
051d1166-af26-481b-8135-d088decf9232,R. PROFESSOR OSCAR KOLBE,321,81010-240,LINDÓIA,Curitiba,PR
4df25708-5d40-443b-b263-eb6df52988da,R. EMILE ZOLA,126,81010-260,LINDÓIA,Curitiba,PR
3cd802c6-a62e-4bce-a035-65d81a65b6d2,R. ALEIXO BETTEGA,359,81010-280,LINDÓIA,Curitiba,PR
3f5152cc-cf11-4198-b985-2676c85b3829,AV. SANTA BERNADETHE,1122,81010-120,LINDÓIA,Curitiba,PR
7ea3be3a-7531-420c-9849-1a982b3b60c1,R. SANTA JOANA DARC,869,81010-190,LINDÓIA,Curitiba,PR
8be3716d-babc-4978-8cad-bc3a67bbeeb2,R. LEON TOLSTOI,798,81010-090,LINDÓIA,Curitiba,PR
7e4eabf9-026f-420f-af0c-c43d63d7dbdd,R. DJALMA FERREIRA MACIEL,755,81010-270,LINDÓIA,Curitiba,PR
517b1cbf-038d-4627-a5fa-b89470da417c,R. SANTA JOANA DARC,580,81010-190,LINDÓIA,Curitiba,PR
d4d778bb-53a5-4742-a7d0-103984186699,R. OSCAR WILDE,682,81010-230,LINDÓIA,Curitiba,PR
72768dba-9179-4f81-ad65-d639124f8a3a,R. ALEIXO BETTEGA,495,81010-280,LINDÓIA,Curitiba,PR
2fdfe550-4fcf-44a6-8dae-75eed8bd2bcb,R. SANTA JOANA DARC,820,81010-190,LINDÓIA,Curitiba,PR
097def1a-96e2-4530-99f9-0824ab482a80,R. ROBERTO KOCH,880,81010-220,LINDÓIA,Curitiba,PR
226543b1-6194-4c09-8351-4953218fc75f,R. VICTOR HUGO,738,81010-130,LINDÓIA,Curitiba,PR
d6505f4e-b9b5-410c-ac8c-775a89791a0c,R. LEON TOLSTOI,365,81010-090,LINDÓIA,Curitiba,PR
de084ac1-0f84-407e-ab77-c5f8327d9626,R. CONDE DOS ARCOS,1109,81010-120,LINDÓIA,Curitiba,PR
3ec05bd4-f3fa-4e73-8a1f-c297225caa2a,R. OSCAR WILDE,174,81010-230,LINDÓIA,Curitiba,PR
67849c26-9361-46d6-911b-213e517b16cc,R. JOSINA RAMOS RÉGIO,365,81010-210,LINDÓIA,Curitiba,PR
7f27dc4f-5ff1-4ef4-b635-977809e95925,R. SANTA JOANA DARC,310,81010-190,LINDÓIA,Curitiba,PR
aa8ce002-5aaa-440b-8fee-7ed9006a123f,R. LEON TOLSTOI,1264,81010-090,LINDÓIA,Curitiba,PR
eea15464-5494-4b73-a655-f837f72e3761,R. CAPITÃO JOÃO ZALESKI,311,81010-080,LINDÓIA,Curitiba,PR
6fe0ef66-1e4d-4435-95d4-c3cb4c498713,R. CAPITÃO JOÃO ZALESKI,1334,81010-080,LINDÓIA,Curitiba,PR
cce175b2-40cc-4f35-b83a-bc0c31053200,R. PROFESSOR OSCAR KOLBE,218,81010-240,LINDÓIA,Curitiba,PR
c3985f16-0f57-4ae8-a090-12c2ffacb76f,R. VICTOR HUGO,721,81010-130,LINDÓIA,Curitiba,PR
3744fa9d-c5a7-4bdc-8883-5bbd645b3334,R. AMÉRICO VESPÚCIO,373,81010-250,LINDÓIA,Curitiba,PR
f77c3863-fd18-44fc-a267-bbbb43cc96df,AV. SANTA BERNADETHE,1495,81010-200,LINDÓIA,Curitiba,PR
bbc5756d-b474-4dd2-9b5f-db4b52617a99,R. CONDE DOS ARCOS,426,81010-120,LINDÓIA,Curitiba,PR
7cda42f6-ede9-495f-8abe-0c575d63bae8,R. LEON TOLSTOI,775,81010-090,LINDÓIA,Curitiba,PR
cc51378d-0cda-4320-8e43-f65fd1a40894,R. EMILE ZOLA,245,81010-260,LINDÓIA,Curitiba,PR
7e9899c1-b2e5-4d64-9356-d44e6c43689f,R. LEON TOLSTOI,936,81010-090,LINDÓIA,Curitiba,PR
ce068fea-bea4-4fa4-b575-1987952b6d89,R. PROFESSOR OSCAR KOLBE,228,81010-240,LINDÓIA,Curitiba,PR
aaa57568-9641-4e4f-bf70-5e416026c493,R. EMILE ZOLA,146,81010-260,LINDÓIA,Curitiba,PR
1e819af3-7625-485d-8b82-d8629fd57726,R. PROFESSOR OSCAR KOLBE,121,81010-240,LINDÓIA,Curitiba,PR
71023ae2-eef7-454d-a84c-a35650f89c1d,R. LEON TOLSTOI,1075,81010-090,LINDÓIA,Curitiba,PR
67f961b1-7d43-40a6-80bc-2e007ab81c74,R. CAPITÃO JOÃO ZALESKI,1335,81010-080,LINDÓIA,Curitiba,PR
56284b3c-b5e7-4c49-83d8-d8e13208e04f,R. ANTERO DE QUENTAL,493,81010-150,LINDÓIA,Curitiba,PR
4767e54b-71e4-44f8-9f4a-10a45f4c8982,R. CONDE DOS ARCOS,1301,81010-120,LINDÓIA,Curitiba,PR
c326d933-7d13-4f1e-ae98-c1d3001d8131,R. CAPITÃO JOÃO ZALESKI,842,81010-080,LINDÓIA,Curitiba,PR
74f36dae-06a4-43b2-9509-7d650accfdac,R. CAMILO CASTELO BRANCO,215,81010-170,LINDÓIA,Curitiba,PR
